Order_ID,Date,Region,City,Retailer_Type,Product,Category,Units_Sold,Price_per_Unit,Discount_%,Revenue,Cost_per_Unit,Profit,Promotion,Sales_Channel,Demand_Level,Profit_Margin_%,Season,Retailer_Tier,Promotion_Effectiveness,Stock_Risk_Level,Region_Market_Share_%,Repeat_Retailer,Price_Sensitivity,Growth_vs_Last_Month
1,2023-10-09,North,Delhi,Online,Minute Maid,Juice,135,25,5,3206.25,17.58,833.59,No,Distributor,Medium,26.0,Monsoon,Bronze,Not Effective,Low,24.98,Repeat,Regular Buyer,Increase
2,2023-04-06,East,Kolkata,Online,Coke,Carbonated,121,25,0,3025.0,17.87,862.71,No,Direct,Medium,28.52,Summer,Bronze,Not Effective,Low,25.3,Repeat,Premium Buyer,Increase
3,2023-10-12,South,Kochi,Kirana,Maaza,Juice,424,50,0,21200.0,27.39,9584.57,No,Direct,Bulk,45.21,Monsoon,Silver,Not Effective,High,24.77,Repeat,Premium Buyer,Decrease
4,2023-12-11,West,Pune,Online,Sprite,Carbonated,62,20,15,1054.0,15.08,118.73,Yes,Direct,Medium,11.26,Winter,Bronze,Not Effective,Low,24.95,Repeat,Discount Lover,Increase
5,2023-05-08,North,Lucknow,Online,Maaza,Juice,482,35,0,16870.0,26.21,4237.38,No,Direct,Bulk,25.12,Summer,Bronze,Not Effective,High,24.98,Repeat,Premium Buyer,Increase
6,2024-11-08,South,Bengaluru,Supermarket,Coke,Carbonated,126,50,10,5670.0,37.83,903.45,No,Direct,Medium,15.93,Winter,Gold,Not Effective,Low,24.77,Repeat,Discount Lover,Decrease
7,2024-01-09,West,Surat,Online,Minute Maid,Juice,93,30,10,2511.0,17.4,892.54,Yes,Distributor,Medium,35.55,Winter,Bronze,Not Effective,Low,24.95,Repeat,Discount Lover,Increase
8,2024-04-18,South,Hyderabad,Supermarket,Sprite,Carbonated,204,30,5,5814.0,22.59,1206.52,No,Distributor,High,20.75,Summer,Gold,Not Effective,Medium,24.77,Repeat,Regular Buyer,Increase
9,2023-10-02,North,Jaipur,Online,Limca,Carbonated,43,25,10,967.5,16.24,269.0,Yes,Direct,Low,27.8,Monsoon,Bronze,Not Effective,Low,24.98,Repeat,Discount Lover,Increase
10,2023-09-10,South,Chennai,Online,Sprite,Carbonated,391,40,10,14076.0,25.14,4245.79,No,Direct,Bulk,30.16,Monsoon,Bronze,Not Effective,High,24.77,Repeat,Discount Lover,Decrease
11,2024-06-05,West,Pune,Supermarket,Sprite,Carbonated,262,20,0,5240.0,10.92,2379.73,No,Direct,High,45.41,Summer,Gold,Not Effective,Medium,24.95,Repeat,Premium Buyer,Decrease
12,2024-09-02,North,Lucknow,Supermarket,Limca,Carbonated,249,40,10,8964.0,30.33,1411.99,No,Distributor,High,15.75,Monsoon,Gold,Not Effective,Medium,24.98,Repeat,Discount Lover,Decrease
